color,main_colour
Moonlight Black,black
Mint Cream,others
Electric Black,black
Deep Blue,blue
Black,black
Blue,blue
Flowing Silver,silver
Crystal Blue,blue
Ink Black,black
Lake Green,green
Mystery Black,black
Fantastic Purple,purple
Matte Black,black
Moonlight Gold,gold
Aurora,others
Stellar Black,black
Magic Blue,blue
Starry Blue,blue
Crystal Black,black
Metallic White,white
Fantasy White,white
Navy Blue,blue
Fancy Blue,blue
Astral Blue,blue
Dynamic Black,black
Dynamic Orange,orange
Mystery Blue,blue
Fairy White,white
Fluid Black,black
Sky White,white
Midnight Black,black
Rainbow Silver,silver
Auroral Blue,blue
Crystal Silver,silver
Space Silver,silver
Fancy White,white
Midnight Blue,blue
Glaring Gold,gold
Starry Black,black
Red,red
JET BLACK,black
Luminous Black,black
Unicorn White,white
Prism Black,black
Piano Black,black
Classic Silver,silver
Lightening Black,black
Marine Green,green
Bordeaux Red,red
Galactic Blue,blue
Marble Green,green
Diamond Blue,blue
Silky White,white
Starry Night,others
Space Purple,purple
Dazzling White,white
Rose Gold,gold
Gold,gold
Blazing Blue,blue
Purple,purple
Champagne,others
Aurora Blue,blue
Mist Black,black
Twilight Black,black
Stream White,white
Vanilla Mint,others
Green,green
Grey,grey
Sunrise Red,red
Twilight Blue,blue
Starry Purple,purple
Diamond Red,red
Glaze Blue,blue
Mirror Black,black
Jade Black,black
White,white
Stellar Purple,purple
Fluorite Purple,purple
Waterfall Grey,grey
Aurora Green,green
Thunder Black,black
Fancy white,white
Jewelry White,white
Silver,silver
Glacier Blue,blue
Neon Purple,purple
Jet Black,black
Majestic Gold,gold
Ocean Green,green
Ocean Blue,blue
Starry purple,purple
Amazing Silver,silver
Blue MB,blue
Quantum Silver,silver
Tornado Black,black
 Tornado Black,black
Just Black,black
Clearly White,white
Not Pink,pink
Very Silver,silver
Aurora Silver,silver
midnight blue,blue
Midnight Purple,purple
Moroccan Blue,blue
Smokey Gray,others
Black Blue,blue
MAGIC BLUE,blue
Thunder Blue,blue
Thunder blue,blue
Platinum,others
Titan,others
Silver Titan,silver
Platinum Grey,grey
Brown,brown
Ice,others
Black Titan,black
AURORA SILVER,silver
Aurora Gray,others
Laser Blue,blue
Black & Blue,blue
Black Gold,black
Gold & Black,black
Illusion Sky,others
Carbon,others
Genuine Leather Black,black
Titan Silver,silver
Pink,pink
Metallic Gray,others
Lavender Violet,violet
Genuine Leather Brown,brown
Meteor Silver,silver
Silver Blue,blue
Yellow,yellow
Rose Pink,pink
Titanium,others
Aqua Blue,blue
Orange,orange
Cool Blue,blue
Cool Grey,grey
Racing Blue,blue
Racing Silver,silver
Cross Black,black
Cross Blue,blue
Watery Grey,grey
Watery Blue,blue
Universe Blue,blue
Universe Purple,purple
Laser Black,black
Supersonic Black,black
Supersonic Blue,blue
Infinite Black,black
Power Blue,blue
Infinite Blue,blue
Cyber Silver,silver
Cyber Black,black
Power Silver,silver
Rich Grey,grey
Rich Green,green
Mist Blue,blue
Nebula,others
Sword Black,black
Blade Silver,silver
Frozen Blue,blue
Chroma White,white
Fusion Green,green
Mint Green,green
Carbon Black,black
Oxygen Blue,blue
Oxygen Green,green
Sparkling Blue,blue
Rust Red,red
Arctic White,white
Dashing Blue,blue
Moss Green,green
Crystal Green,green
Racing Yellow,yellow
Comet Blue,blue
Mystic Black,black
Diamond Black,black
Cosmos Black,black
Eclipse Black,black
Comet White,white
Lunar White,white
Pearl White,white
Moonlight Silver,silver
Space Blue,blue
Pearl Green,green
Illuminating Yellow,yellow
Volcano Grey,grey
Blazing Red,red
Fusion Blue,blue
Mist White,white
Sun Kissed Leather,others
Black Ninja,black
White Knight,white
Glory Silver,silver
Victory Blue,blue
So White,white
That Green,green
That White,white
Lightning Red,red
So Blue,blue
That Blue,blue
Ambitious Black,black
Fiery Gold,gold
Brave Blue,blue
Lightning Blue,blue
Solar Red,red
Pearl Blue,blue
Diamond Sapphire,others
Diamond Ruby,others
Forest Green,green
Lightning Orange,orange
Radiant Blue,blue
Red Brick,red
Concrete,others
Garlic,others
Onion,others
Polar White,white
Neptune Blue,blue
Super Polar White,white
Royal Blue,blue
Dark Blue,blue
Mocha Gold,gold
Black and Gold,black
Latte Gold,gold
Champagne Gold,gold
Polar Gold,gold
CHAMPAGNE GOLD,gold
Fjord,others
Polar Night,others
Charcoal Grey,grey
Nordic Blue,blue
Sand,others
Dusk,others
Charcoal,others
Fjord Blue,blue
Dusk Purple,purple
Copper,others
Grey / Silver,grey
Warm Red,red
Copper/Black,black
Blue & Silver,blue
Silver White,white
Black&Blue,blue
Cyan Green,green
Baltic,others
Iron,others
Steel,others
Pewter / White,white
Tempered Blue,blue
SAND,others
CYAN,others
CHARCOAL,others
Bright Green,green
White & Copper,white
Pink Sand,pink
Polished Copper,others
Copper White,white
Polished Blue,blue
Black & Copper,black
Coral,others
Pacific Blue,blue
Midnight Green,green
Graphite,others
Space Grey,grey
Space Gray,others
Denim Blue,blue
Denim Black,black
Sky Blue,blue
Sea Green,green
Mirage Blue,blue
Celestial Black,black
Mint,others
Arctic blue,blue
Mirage Black,black
Space Black,black
Cream,others
Awesome Black,black
Light Blue,blue
Prism Crush Blue,blue
Phantom Black,black
Laser Grey,grey
Awesome White,white
Laser Green,green
Awesome Blue,blue
Prism White,white
Violet,violet
Awesome Violet,violet
Mystic Bronze,others
Aura Black,black
Haze Crush Silver,silver
Prism Crush Red,red
Iceberg blue,blue
Metallic Blue,blue
Prism Crush Violet,violet
Diamond White,white
Mystic Blue,blue
Prism Crush Black,black
Mystic Green,green
Cloud Navy,others
Cloud White,white
Prism Crush White,white
Gradation Blue,blue
Prism Dot Black,black
Caviar Black,black
Cosmic Gray,others
Seawater Blue,blue
Absolute black,black
Ceramic Black,black
White Pearl,white
Black Sapphire,black
Gold Sand,gold
Electric Blue,blue
Angel Gold,gold
Fusion Black,black
Shimmery White,white
Phantom Gray,others
Aura Glow,others
Prism Dot Gray,others
Cloud Blue,blue
Dark Gray,others
Phantom Violet,violet
Iceberg Blue,blue
Stainless Black,black
Lemonade Blue,blue
black sapphire,black
Metallic Copper,others
White Frost,white
IceBerg Blue,blue
Charcoal Black,black
Lavender Purple,purple
Prism Crush Silver,silver
Prism Blue,blue
Burgundy Red,red
Ghost White,white
Cloud Pink,pink
Coral Blue,blue
Frosted Gold,gold
Aura Red,red
Phantom White,white
Orchid Grey,grey
Black Sky,black
Pearl white,white
Lilac Purple,purple
Silver Titanium,silver
Deep Black,black
Classic White,white
Gold Platinum,gold
Polaris Blue,blue
Copper Gold,gold
Sunrise Gold,gold
Alpine White,white
Chic White,white
Blue Coral,blue
Aura White,white
Quartz Green,green
Phantom Silver,silver
Pebble Blue,blue
Black Onyx,black
Cloud Mint,others
Wine Red,red
Cloud Lavender,others
Cloud Red,red
Raven Black,black
Gradation Black,black
Cosmic Black,black
Frost White,white
Maple Gold,gold
Marble White,white
Bronze Gold,gold
Charcoal Gray,others
Ceramic White,white
Blossom Pink,pink
COCKTAIL ORANGE,orange
Titan Gray,others
Black Pearl,black
Pink Gold,gold
Fine Gold,gold
Venom Black,black
Dark Grey,grey
dark gold,gold
Black/Tuxedo Black,black
Starry Night Black,black
Sprite,others
GREY/BLACK,black
Tahiti Blue,blue
Aurora Grey,grey
Frosted Champagne,others
Dynamic Gray,others
Coral Red,red
Breeze Blue,blue
Frosted Emerald,others
Cyber Teal,others
Super Black,black
Electric Graphite,others
Polished Graphite,others
Frosted Pearl,others
Indigo Black,black
Sapphire Gradient,others
Dark Pearl,others
Volcanic Grey,grey
Electric Violet,violet
Pastel Sky,others
Moonlight White,white
Sapphire Blue,blue
Misty Blue,blue
Frosted Silver,silver
Arctic Blue,blue
Smoky Sangria,others
Ultra Violet,violet
Lunar Gray,others
Sterling Blue,blue
Rich Cranberry,others
Oxford Blue,blue
Cosmic Blue,blue
Bronze Gradient,others
Crystal Pink,pink
Twilight Orange,orange
Caribbean Blue,blue
Metallic Sage,others
Lunar Grey,grey
Black Leather,black
Graphite Black,black
Steel Blue,blue
Power Black,black
Mostly Blue,blue
Lime Green,green
Obsidian Black,black
Purist Blue,blue
Midday Dream,others
Nebula Blue,blue
Diamond Glow,others
Dawn White,white
Diamond Flare,others
Olive Black,black
Titanium Sapphire,others
Slate Gray,others
Prism Magic,others
Crystal Symphony,others
Sunset Jazz,others
Gravity Black,black
Agate Red,red
Deep Sea Blue,blue
Sunset Melody,others
Sunset Dazzle,others
Dusk Blue,blue
Fantastic Rainbow,others
Emerald Black,black
Aquamarine Green,green
Midnight Jazz,others
Shimmer Blue,blue
Coral Green,green
Twilight Grey,grey
Atlantic Blue,blue
Pacific Sunrise,others
Lunar Silver,silver
Jazz Blue,blue
Tuscany Coral,others
Vinyl Black,black
Celestial Silver,silver
LUNAR WHITE,white
CELESTIAL SILVER,silver
COSMIC BLACK,black
Kind of Grey,grey
More Than White,white
Metallic Grey,grey
Lake Blue,blue
Matte Gold,gold
Onyx Black,black
Ruby Red,red
Sunset Red,red
Midnight Grey,grey
Sea Blue,blue
Sporty Orange,orange
Electric Green,green
Fiery Red,red
Mighty Black,black
Sunrise Flare,others
Nature Green,green
SeaBlue,blue
Flame Red,red
Dark Nebula,others
Dark Night,others
Cosmic Purple,purple
MOONLIGHT WHITE,white
Nebula Red,red
Astro Moonlight White,white
Pebble Grey,grey
Glacier White,white
Bold Red,red
Elegant Blue,blue
Prime Black,black
Brilliant Black,black
Sprinkle White,white
Carbon Grey,grey
Topaz Gold,gold
Sunset Blue,blue
White Birch,white
Blue Lagoon,blue
Milkyway Grey,grey
Meteor Grey,grey
Gold Sepia,gold
Gold and Silver,gold
Fervor Red,red
Santorini White,white
Saffron Grey,grey
Glossy Black,black
Amber Gold,gold
White  ,white
Gunmetal Grey,grey
Grey ,grey
Rainbow Blue,blue
Predator Black,black
Gunmetal Silver,silver
Armoured Edition,red
Two shades of black,black
Green and Greener,green
Out of Blue,blue
Slate Blue,blue
Pitch Black,black
Brick Red,red
Matrix Purple,purple
Pheonix Red,red
Rosso Red,red
Daybreak Blue,blue
Metal Grey,grey
Neo Blue,blue
Neo Black,black
Luna White ,white
Voyager Grey,grey
Mercury Silver,silver
Asteroid Black,black
Awesome Mint,others
Phantom Green,green
Lavender  ,others
Matte Aqua,others
Sunshine Gold,gold
Stardust Black,black
Neon Spark,others
Enigma Black,black
Aurora Dawn,others
Alpha Grey,grey
Frost Blue,blue
Skyline Blue,blue
Phantom Purple,purple
Sonic Blue,blue
Sonic Black,black
Nebula Purple,purple
Dazzling Gold,gold
Pearl Black,black
Energetic Blue,blue
Celestial Magic,others
Stealth Black,black
Purple Mist,purple
Pacific Pearl,others
Camo Green,green
Aquamarine Blue,blue
Stardust White,white
Diamond Dazzle,others
Aegean Blue,blue
Purple  ,purple
Morandi Green,green
Polar Black,black
Green Wave,green
Silver Wave,silver
Emerald Green,green
Quetzal Cyan,others
Ocean Wave,others
Celestial Snow,others
Symphony Cyan,others
Haze Green,green
Glacier Green,green
Mithril Grey,grey
Nordic Secret,others
Milan Black,black
Sandstone Black,black
Ice Blue,blue
Sapphire Cyan,others
Bordeaux Red ,red
Heart of Ocean,others
Silver Diamond,silver
Topaz Blue,blue
Moonlight Jade,others
Amber Red,red
Aether Black,black
Tradew Grey,grey
Mocha Brown,brown
City Blue,blue
Serene Gold,gold
Blush Gold,gold
Magic Gold,gold
Shark Grey,grey
Quartz Black,black
Charcoal Blue,blue
Black Diamond,black
Berlin Gray,others
Twilight Purple,purple
Bolivia Blue,blue
Bronze Gold Black,black
Startrails Blue,blue
Shadow Grey,grey
Royal Gold,gold
Alpine Green,green
Sierra Blue,blue
Starlight Black,black
Glowing Galaxy,others
Meteor Black,black
Stargaze White,white
Sunrise Blue ,blue
Azure Glow,others
Starry Glow,others
Glowing Green,green
Glowing Black,black
Blazing Black,black
Icy Blue,blue
Slate Black,black
